t_index,term,df
1266,boyfriend,4
1267,bozov,3
1268,braca,2
1269,brace,4
1270,braci,1
1271,bracket,1
1272,brad,6
1273,bradi,1
1274,bradman,1
1275,bradshaw,1
1276,brag,4
1277,brain,2
1278,brainwash,3
1279,brake,1
1280,branch,9
1281,brand,6
1282,brandish,6
1283,brandon,1
1284,brash,2
1285,brass,4
1286,brave,6
1287,bravent,1
1288,braveri,2
1289,bravo,4
1290,brazen,1
1291,brazil,2
1292,brazilian,1
1293,breach,3
1294,bread,1
1295,breadbasket,2
1296,break,111
1297,breakaway,2
1298,breakdown,3
1299,breaker,1
1300,breakfast,6
1301,breakout,9
1302,breakthrough,12
1303,breakup,3
1304,breast,4
1305,breath,6
1306,breaux,1
1307,breed,5
1308,breez,6
1309,breme,1
1310,bremer,1
1311,brenton,2
1312,brevant,1
1313,brew,3
1314,brewer,1
1315,brian,15
1316,bribe,40
1317,briberi,10
1318,brick,12
1319,bride,1
1320,bridg,19
1321,bridgett,1
1322,brie,6
1323,brief,63
1324,briefli,24
1325,brien,1
1326,brig,1
1327,brigad,3
1328,bright,11
1329,brighten,2
1330,brighter,1
1331,brightest,2
1332,brightli,1
1333,brilliant,3
1334,brim,1
1335,bring,126
1336,brink,6
1337,brisk,1
1338,briskli,3
1339,bristl,3
1340,britain,37
1341,british,56
1342,briton,3
1343,broad,14
1344,broadcast,59
1345,broaden,2
1346,broader,9
1347,broadli,3
1348,broder,1
1349,brokaw,1
1350,broke,91
1351,broken,49
1352,broker,7
1353,brokerag,1
1354,bronco,1
1355,bronxvil,1
1356,bronz,2
1357,brood,1
1358,brook,3
1359,brooklyn,1
1360,broom,1
1361,brother,73
1362,brought,116
1363,brow,2
1364,brown,18
1365,broz,1
1366,bruce,1
1367,bruis,7
1368,brunei,22
1369,brunswick,1
1370,brunt,4
1371,brush,7
1372,brussel,6
1373,brutal,16
1374,bryan,4
1375,bryann,1
1376,bryant,1
1377,bt,1
1378,bu,18
1379,bubbl,2
1380,buccan,1
1381,buchanan,7
1382,buck,9
1383,bucket,4
1384,buckl,13
1385,bud,3
1386,budapest,1
1387,buddhist,1
1388,buddi,1
1389,budget,9
1390,budnev,1
1391,budor,1
1392,budsmen,1
1393,budva,1
1394,bueni,1
1395,buf,4
1396,buff,4
1397,buffalo,3
1398,buffer,1
1399,bug,5
1400,bugss,1
1401,build,170
1402,builder,6
1403,buildup,2
1404,built,29
1405,bulatov,7
1406,bulg,1
1407,bulgaria,3
1408,bulk,4
1409,bulkhead,4
1410,bulki,1
1411,bulldoz,25
1412,bullet,10
1413,bulletin,3
1414,bulletproof,3
1415,bulli,3
1416,bullzdoz,1
1417,bum,1
1418,bump,2
1419,bumper,4
1420,bumpi,1
1421,bunch,5
1422,bundl,1
1423,bungl,6
1424,bunk,5
1425,bunker,7
1426,bunkroom,1
1427,bunt,1
1428,buoy,7
1429,buraika,1
1430,burch,1
1431,burden,7
1432,bureau,33
1433,bureaucraci,4
1434,bureaucrat,7
1435,burglar,7
1436,burglari,8
1437,burgsmul,2
1438,buri,85
1439,burial,13
1440,burk,6
1441,burkhard,1
1442,burkina,8
1443,burkinab,1
1444,burkl,5
1445,burli,4
1446,burn,47
1447,burner,2
1448,burnt,3
1449,burri,1
1450,burst,10
1451,burton,5
1452,buse,19
1453,bush,99
1454,bushi,1
1455,bushnel,1
1456,busi,90
1457,busiest,1
1458,busili,1
1459,businessman,54
1460,businessmen,5
1461,buss,1
1462,bust,7
1463,bustamant,1
1464,bustl,5
1465,butcher,4
1466,butter,1
1467,button,4
1468,buttress,5
1469,buy,44
1470,buyer,2
1471,buzz,6
1472,bye,5
1473,bypass,5
1474,byrd,6
1475,cab,2
1476,cabana,1
1477,cabin,2
1478,cabinet,32
1479,cabl,5
1480,cacak,8
1481,cach,2
1482,cadav,1
1483,cadet,1
1484,caeti,1
1485,cafe,4
1486,cafetalon,1
1487,cafeteria,1
1488,cage,5
1489,cagl,1
1490,cahokia,3
1491,cairo,5
1492,caisson,1
1493,cake,5
1494,cal,2
1495,calam,5
1496,calamit,1
1497,calatrava,2
1498,calcul,10
1499,calculu,1
1500,calcutta,3
1501,calderon,1
1502,calena,1
1503,caley,1
1504,calhoun,1
1505,calib,4
1506,calif,7
1507,california,32
1508,calina,1
1509,calix,1
1510,call,371
1511,callahan,1
1512,callen,3
1513,caller,5
1514,callou,1
1515,callous,1
1516,calm,38
1517,calmli,1
1518,calvario,6
1519,calvert,1
1520,cambodia,3
1521,camden,1
1522,came,236
1523,camel,3
1524,camera,26
1525,cameraman,3
1526,cameroon,2
1527,camouflag,7
1528,camp,49
1529,campaign,155
1530,campbel,1
1531,campfir,3
1532,campground,1
1533,campu,2
1534,can,2
1535,canada,14
1536,canal,21
1537,canberra,1
1538,cancel,38
1539,cancer,45
1540,candid,144
1541,candidaci,15
1542,candiotti,2
1543,candl,3
1544,candlelight,4
1545,candor,2
1546,cane,2
1547,canist,2
1548,cannaday,3
1549,cannistraro,4
1550,cannon,3
1551,cannot,62
1552,canon,1
1553,canopi,2
1554,canton,1
1555,cantwel,4
1556,canva,3
1557,canvass,3
1558,cap,19
1559,capabl,25
1560,capac,15
1561,cape,2
1562,capit,159
1563,capitalist,2
1564,capitol,28
1565,capitul,1
1566,capp,1
1567,capriati,33
1568,capsul,2
1569,capt,30
1570,captain,28
1571,captiv,6
1572,captor,4
1573,captur,58
1574,car,99
1575,caraca,2
1576,carat,1
1577,caravan,3
1578,carbon,2
1579,card,21
1580,cardboard,1
1581,cardiopulmonari,1
1582,care,85
1583,career,50
1584,caretak,4
1585,carey,1
1586,cargo,12
1587,caribbean,2
1588,carin,1
1589,cario,1
1590,carjack,2
1591,carl,4
1592,carlo,29
1593,carlson,1
1594,carlton,1
1595,carman,1
1596,carmelo,2
1597,carmen,4
1598,carmodi,4
1599,carnahan,66
1600,carnahand,1
1601,carniv,1
1602,carol,6
1603,carolina,5
1604,carpent,7
1605,carper,8
